order_id,order_date,region,customer,product,category,quantity,unit_price,sales_amount
1001,2026-01-03,Phnom Penh,Acme Retail,Laptop Pro,Electronics,2,950.00,1900.00
1002,2026-01-04,Siem Reap,Golden Mart,Mouse Wireless,Accessories,10,18.50,185.00
1003,2026-01-05,Battambang,Mekong Shop,Office Chair,Furniture,4,120.00,480.00
1004,2026-01-05,Phnom Penh,Trust Trading,Monitor 27,Electronics,3,210.00,630.00
1005,2026-01-06,Kampot,Lotus Market,Keyboard Mechanical,Accessories,6,45.00,270.00
1006,2026-01-07,Siem Reap,Urban Supply,Desk Lamp,Furniture,12,22.00,264.00
1007,2026-01-08,Phnom Penh,Blue River,SSD 1TB,Components,5,95.00,475.00
1008,2026-01-09,Battambang,Northwind KH,Printer Laser,Electronics,2,320.00,640.00
1009,2026-01-09,Kampot,Rice Field Co,USB-C Dock,Accessories,7,65.00,455.00
1010,2026-01-10,Phnom Penh,Atlas Office,Standing Desk,Furniture,1,420.00,420.00
